id,value
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {NARIZ BOCA Y FARINGE} SubGrupo: {ANTROTOMРIA INTRANASAL},21
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {NARIZ BOCA Y FARINGE} SubGrupo: {ANTROTOMРIA MAXILAR EXTERNA},2
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {NARIZ BOCA Y FARINGE} SubGrupo: {NARIZ BOCA Y FARINGE},484
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {NARIZ BOCA Y FARINGE} SubGrupo: {OTRA SINUSECTOMРIA (ESCISION DE LESION) PARANASAL},283
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {NARIZ BOCA Y FARINGE} SubGrupo: {OTRA SINUSOTOMРIA PARANASAL},82
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {NARIZ BOCA Y FARINGE} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN SENOS PARANASALES},37
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {NARIZ BOCA Y FARINGE} SubGrupo: {SINUSOTOMРIAS Y SINUSECTOMРIAS FRONTALES},24
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {GLOSECTOMРIAS PARCIALES},17
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {GLOSECTOMРIAS TOTALES},2
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {OTROS PROCEDIMIENTOS DE LENGUA},20
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN LENGUA},3
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {REPARACION DE LENGUA Y GLOSOPLASTIA},10
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {RESECCION},5
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN AMРIGDALAS Y ADENOIDES} SubGrupo: {ADENOAMIGDALECTOMIA SOD},212
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN AMРIGDALAS Y ADENOIDES} SubGrupo: {ADENOIDECTOMРIAS},234
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN AMРIGDALAS Y ADENOIDES} SubGrupo: {AMIGDALECTOMРIAS},119
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN AMРIGDALAS Y ADENOIDES} SubGrupo: {CONTROL DE HEMORRAGIA DESPUES DE AMIGADALECTOMРIA Y ADENOIDECTOMРIA},11
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN AMРIGDALAS Y ADENOIDES} SubGrupo: {INCISION Y DRENAJE DE AMРIGDALA Y ESTRUCTURAS PERIAMIGDALARES},5
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES} SubGrupo: {EXODONCIA QUIRURGICA (EXTRACCION QUIRURGICA DE DIENTES)},357
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES} SubGrupo: {EXODONCIA SIMPLE},1071
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES} SubGrupo: {IMPLANTE DENTAL PROTESICO},291
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES} SubGrupo: {INSERCION DE CORONAS Y PROTESIS},9312
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES} SubGrupo: {RESTAURACION DE DIENTES MEDIANTE INCRUSTACIONES},35
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES} SubGrupo: {RESTAURACION DE DIENTES MEDIANTE OBTURACIONES},19120
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES} SubGrupo: {TERAPIA DE CONDUCTO RADICULAR Y PROCEDIMIENTOS ENDODONTICOS},2505
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {ALVEOLOPLASTIA},26
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {APLICACION DE DISPOSITIVO ORTODONTICO (ORTODONCIA Y ORTOPEDIA)},1925
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {CONTROL DE HEMORRAGIA DE ORIGEN DENTAL},32
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {ESCISION DE LESION MAXILAR DE ORIGEN DENTARIO},4
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {ESCISION DE LESION O TEJIDO DE ENCРIA},67
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {INCISION DE ENCРIA O HUESO ALVEOLAR},1728
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {OTROS PROCEDIMIENTOS ORTODONTICOS},689
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN DIENTES ENCIAS Y ALVEOLOS},4
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN DIENTES ENCIAS Y ALVEOLOS (TERAPIA PERIODONTA)} SubGrupo: {REPARACION Y PLASTIA PERIODONTAL (CIRUGРIA PERIODONTAL)},41
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN FARINGE} SubGrupo: {ESCISION O ABLACION DE LESION O TEJIDO DE FARINGE},12
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN FARINGE} SubGrupo: {FARINGOTOMРIA},8
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN FARINGE} SubGrupo: {OTRA REPARACION DE FARINGE},7
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN FARINGE} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN FARINGE},37
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES} SubGrupo: {ESCISION DE LESION DE GLANDULAS SALIVAL},3
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES} SubGrupo: {INCISION DE GLANDULAS O CONDUCTO SALIVAL},3
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES} SubGrupo: {OTROS PROCEDIMIENTOS},4
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN GLANDULAS Y CONDUCTOS SALIVALES},35
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN GLANDULAS Y CONDUCTOS SALIVALES} SubGrupo: {SIALOADENECTOMРIA},20
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN NARIZ} SubGrupo: {CONTROL DE EPISTAXIS},124
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN NARIZ} SubGrupo: {OTROS PROCEDIMIENTOS EN NARIZ},14
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN NARIZ} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN NARIZ},12
Seccion:{PROCEDIMIENTOS QUIRURGICOS} Capitulo: {NARIZ BOCA Y FARINGE} Grupo: {PROCEDIMIENTOS EN NARIZ} SubGrupo: {PROCEDIMIENTOS EN LA PIRAMIDE NASAL},1100
