id,value
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {NARIZ  BOCA Y FARINGE} SubGrupo: {ANTROTOMIA INTRANASAL},11
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {NARIZ  BOCA Y FARINGE} SubGrupo: {NARIZ  BOCA Y FARINGE},141
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {NARIZ  BOCA Y FARINGE} SubGrupo: {OTRA SINUSECTOMIA (ESCISION DE LESION) PARANASAL},169
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {NARIZ  BOCA Y FARINGE} SubGrupo: {OTRA SINUSOTOMIA PARANASAL},51
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {NARIZ  BOCA Y FARINGE} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN SENOS PARANASALES},18
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {NARIZ  BOCA Y FARINGE} SubGrupo: {SINUSOTOMIAS Y SINUSECTOMIAS FRONTALES},8
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {GLOSECTOMIAS PARCIALES},13
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {GLOSECTOMIAS TOTALES},1
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {OTROS PROCEDIMIENTOS DE LENGUA},8
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {PROCEDIMIENTOS DIAGNOSTICOS EN LENGUA},2
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS E INTERVENCIONES EN LENGUA} SubGrupo: {RESECCION},3
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN AMIGDALAS Y ADENOIDES} SubGrupo: {ADENOAMIGDALECTOMIA SOD},90
Seccion : {PROCEDIMIENTOS QUIRURGICOS} Capitulo : {NARIZ  BOCA Y FARINGE} Grupo : {PROCEDIMIENTOS EN AMIGDALAS Y ADENOIDES} SubGrupo: {ADENOIDECTOMIAS},107
